date,cash,holdings_value,total_value,AAPL_shares,MSFT_shares,GOOGL_shares,NVDA_shares
2023-11-07,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-08,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-09,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-10,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-13,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-14,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-15,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-16,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-17,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-20,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-21,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-22,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-24,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-27,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-28,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-29,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-30,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-01,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-04,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-05,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-06,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-07,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-08,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-11,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-12,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-13,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
