date,cash,holdings_value,total_value,NVDA_shares
2022-11-09,4090.6331481933594,4463.4240074157715,8554.05715560913,324.0
2022-11-10,4090.6331481933594,5103.0,9193.63314819336,324.0
2022-11-11,4090.6331481933594,5289.947891235352,9380.581039428711,324.0
2022-11-14,4090.6331481933594,5279.580024719238,9370.213172912598,324.0
2022-11-15,4090.6331481933594,5399.784118652344,9490.417266845703,324.0
2022-11-16,4090.6331481933594,5154.839950561523,9245.473098754883,324.0
2022-11-17,4090.6331481933594,5079.348014831543,9169.981163024902,324.0
2022-11-18,4090.6331481933594,4992.516128540039,9083.149276733398,324.0
2022-11-21,4090.6331481933594,4962.708126068114,9053.341274261475,324.0
2022-11-22,4090.6331481933594,5196.312034606934,9286.945182800293,324.0
2022-11-23,4090.6331481933594,5352.155708312988,9442.788856506348,324.0
2022-11-25,4090.6331481933594,5271.48014831543,9362.113296508789,324.0
2022-11-28,4090.6331481933594,5127.947891235352,9218.581039428711,324.0
2022-11-29,4090.6331481933594,5067.035980224609,9157.669128417969,324.0
2022-11-30,4090.6331481933594,5483.052108764648,9573.685256958008,324.0
2022-12-01,4090.6331481933594,5551.740074157715,9642.373222351074,324.0
2022-12-02,4090.6331481933594,5467.823822021484,9558.456970214844,324.0
2022-12-05,4090.6331481933594,5381.640197753906,9472.273345947266,324.0
2022-12-06,4090.6331481933594,5179.7881507873535,9270.421298980713,324.0
2022-12-07,4090.6331481933594,5222.880271911621,9313.51342010498,324.0
2022-12-08,4090.6331481933594,5562.756202697754,9653.389350891113,324.0
2022-12-09,4090.6331481933594,5508.323822021484,9598.956970214844,324.0
2022-12-12,4090.6331481933594,5681.339950561523,9771.973098754883,324.0
2022-12-13,4090.6331481933594,5855.328163146973,9945.961311340332,324.0
2022-12-14,4090.6331481933594,5726.375930786133,9817.009078979492,324.0
2022-12-15,4090.6331481933594,5492.447891235352,9583.081039428711,324.0
2022-12-16,4090.6331481933594,5369.003723144531,9459.63687133789,324.0
2022-12-19,4090.6331481933594,5266.2959060668945,9356.929054260254,324.0
2022-12-20,4090.6331481933594,5211.539703369141,9302.1728515625,324.0
2022-12-21,9436.956970214844,0.0,9436.956970214844,0.0
2022-12-22,9436.956970214844,0.0,9436.956970214844,0.0
2022-12-23,9436.956970214844,0.0,9436.956970214844,0.0
2022-12-27,9436.956970214844,0.0,9436.956970214844,0.0
2022-12-28,9436.956970214844,0.0,9436.956970214844,0.0
2022-12-29,9436.956970214844,0.0,9436.956970214844,0.0
